"interaction","cell1","cell2","p-value"
"WNT6_FZD4_LRP5","Macrophage","Macrophage","0"
"WNT6_FZD4_LRP5","NK Cell","Macrophage","0"
"WNT6_FZD4_LRP5","T Cell","Macrophage","0"
"WNT6_FZD5_LRP5","Macrophage","Macrophage","0"
"WNT6_FZD5_LRP5","Macrophage","NK Cell","0"
"WNT6_FZD5_LRP5","Macrophage","T Cell","0"
"WNT6_FZD6_LRP5","Macrophage","Macrophage","0"
"WNT6_FZD6_LRP5","Macrophage","NK Cell","0"
"WNT6_FZD6_LRP5","Macrophage","T Cell","0"
"WNT6_FZD7_LRP5","B Cell","Macrophage","0"
"WNT6_FZD7_LRP5","Macrophage","Macrophage","0"
"WNT6_FZD7_LRP5","NK Cell","Macrophage","0"
"WNT6_FZD7_LRP5","T Cell","Macrophage","0"
"WNT6_FZD7_LRP5","Macrophage","T Cell","0.02"
"WNT6_FZD8_LRP5","Macrophage","B Cell","0"
"WNT6_FZD8_LRP5","B Cell","Macrophage","0.04"
"WNT6_FZD8_LRP5","Macrophage","Macrophage","0"
"WNT6_FZD8_LRP5","T Cell","Macrophage","0.02"
"WNT6_FZD8_LRP5","Macrophage","NK Cell","0.01"
"WNT6_FZD8_LRP5","Macrophage","T Cell","0"
"WNT6_FZD9_LRP5","Macrophage","B Cell","0.01"
"WNT6_FZD9_LRP5","Macrophage","Macrophage","0"
"WNT6_FZD9_LRP5","T Cell","Macrophage","0.03"
"WNT6_FZD9_LRP5","Macrophage","NK Cell","0"
"WNT6_FZD9_LRP5","Macrophage","T Cell","0"
"WNT8B_FZD1_LRP5","B Cell","Macrophage","0"
"WNT8B_FZD1_LRP5","Macrophage","Macrophage","0"
"WNT8B_FZD1_LRP5","NK Cell","Macrophage","0"
"WNT8B_FZD1_LRP5","T Cell","Macrophage","0"
"WNT8B_FZD10_LRP5","B Cell","Macrophage","0"
"WNT8B_FZD10_LRP5","Macrophage","Macrophage","0"
"WNT8B_FZD10_LRP5","NK Cell","Macrophage","0"
"WNT8B_FZD10_LRP5","T Cell","Macrophage","0"
"WNT8B_FZD2_LRP5","B Cell","Macrophage","0"
"WNT8B_FZD2_LRP5","Macrophage","Macrophage","0"
"WNT8B_FZD2_LRP5","NK Cell","Macrophage","0"
"WNT8B_FZD2_LRP5","T Cell","Macrophage","0"
